Marca,Modelo,Aprovado_Pista,Aprovado_Saltos,Aprovado_Arremessos,Aprovado_Estrada_Marcha,Aprovado_Cross_Country,Tem_Data_Validade,Validade_Inicio,Validade_Fim,Nome_Original_Completo
361 Degrees,Biospeed Future,True,True,True,True,True,False,,,Biospeed Future
361 Degrees,Biospeed pro,False,False,False,True,True,False,,,Biospeed pro
361 Degrees,Flame,False,False,False,True,True,False,,,Flame
361 Degrees,Flame 2,False,False,False,True,True,False,,,Flame 2
361 Degrees,FLAME 5,False,False,False,True,True,True,24 SEP 2025,23 SEP 2026,"FLAME 5
VALID: 24 SEP 2025 - 23 SEP 2026"
361 Degrees,FLAME 5 FUTURE,False,False,False,True,True,True,06 AUG 2025,05 AUG 2026,"FLAME 5 FUTURE
VALID: 06 AUG 2025 - 05 AUG 2026"
361 Degrees,Furious,False,False,False,True,True,False,,,Furious
361 Degrees,Furious 2,False,False,False,True,True,False,,,Furious 2
361 Degrees,Furious Future,False,False,False,True,True,False,,,Furious Future
361 Degrees,Furious Future 2,False,False,False,True,True,False,,,Furious Future 2
361 Degrees,mironude,False,False,False,True,True,False,,,mironude
361 Degrees,MIRONUDE2,False,False,False,True,True,False,,,MIRONUDE2
910 Nineten,Geist Ekiden Pro,False,False,False,True,True,True,19 MAR 2025,18 MAR 2026,"Geist Ekiden Pro
VALID: 19 MAR 2025 - 18 MAR 2026"
910 Nineten,Haze Pro,False,False,False,True,True,False,,,Haze Pro
Adidas,Adizero Adios 3,False,False,False,True,True,False,,,Adizero Adios 3
Adidas,Adizero Adios 4,False,False,False,True,True,False,,,Adizero Adios 4
Adidas,Adizero Adios 5,False,False,False,True,True,False,,,Adizero Adios 5
Adidas,Adizero Adios 6,False,False,False,True,True,False,,,Adizero Adios 6
Adidas,Adizero Adios 8,False,False,False,True,True,False,,,Adizero Adios 8
Adidas,Adizero Adios 9,False,False,False,True,True,False,,,Adizero Adios 9
Adidas,Adizero Adios Pro,False,False,False,True,True,False,,,Adizero Adios Pro
Adidas,Adizero Adios Pro 2,False,False,False,True,True,False,,,Adizero Adios Pro 2
Adidas,Adizero Adios Pro 3,False,False,False,True,True,False,,,Adizero Adios Pro 3
Adidas,Adizero Adios Pro 4,False,False,False,True,True,False,,,Adizero Adios Pro 4
Adidas,Adizero Adios Pro Evo 1,False,False,False,True,True,False,,,Adizero Adios Pro Evo 1
Adidas,Adizero Adios Pro Evo 1 v2,False,False,False,True,True,False,,,Adizero Adios Pro Evo 1 v2
Adidas,Adizero Adios Pro Evo 2,False,False,False,True,True,False,,,Adizero Adios Pro Evo 2
Adidas,ADIZERO ADIOS PRO EVO2 DEV,False,False,False,True,True,True,14 AUG 2025,13 AUG 2026,"ADIZERO ADIOS PRO EVO2 DEV
VALID: 14 AUG 2025 - 13 AUG 2026"
Adidas,Adizero Ambition,True,False,True,True,True,False,,,Adizero Ambition
Adidas,Adizero Ambition 2,True,False,True,True,True,False,,,Adizero Ambition 2
Adidas,Adizero Ambition 24,True,False,True,True,True,False,,,Adizero Ambition 24
Adidas,Adizero Ambition Boost,True,False,True,True,True,False,,,Adizero Ambition Boost
Adidas,Adizero Avanti,True,True,True,True,True,False,,,Adizero Avanti
Adidas,Adizero Avanti 24,True,True,True,True,True,False,,,Adizero Avanti 24
Adidas,Adizero Avanti Boost,True,True,True,True,True,False,,,Adizero Avanti Boost
Adidas,Adizero Avanti LJ,True,True,True,True,True,False,,,Adizero Avanti LJ
Adidas,ADIZERO AVANTI LJ DEV,True,True,True,True,True,True,23 MAY 2025,22 MAY 2026,"ADIZERO AVANTI LJ DEV
VALID: 23 MAY 2025 - 22 MAY 2026"
Adidas,Adizero Avanti TYO,True,True,True,True,True,False,,,Adizero Avanti TYO
Adidas,ADIZERO AVANTI XC,True,True,True,True,True,False,,,ADIZERO AVANTI XC
Adidas,Adizero Boston 10,False,False,False,True,True,False,,,Adizero Boston 10
