avaliacao_media,categoria,cores_disponiveis,data_coleta,desconto_percentual,drop,em_estoque,genero,loja,marca,material_cabedal,modelo,peso,preco,preco_original,qtd_avaliacoes,tamanhos_disponiveis,tecnologia,tipo_fecho,tipo_sola,url_imagem,url_produto
4.5,Corrida de Rua,,2025-10-31,,,Verificar disponibilidade,Feminino,Amazon,Olympikus,Tecido,Olympikus Tênis Olympikus Acqua Feminino,,164.9,,385,,,Cadarço,Borracha,https://m.media-amazon.com/images/I/51GXKGCE8OL._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/T%C3%AAnis-Feminino-Olympikus-Acqua-Branco/dp/B0CZ1ZX9XN/ref=sr_1_5?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.HAhJPA1axNHy4ay6c33ppQN7BksE9No0kPnecEJoY2U62YyFNSRkpEclq1QRt8M5oq7xdBvDuTkQjwxsNQEwdUuyR-e7oSEsVvOZbaf3PBcJb9wHnAvwcC9b8iVwhrWwZEaHPL0Ort1yE9ehZGG36FHrTh9n_3-Fdcbwv1jZVg5qhmcgHqalriPjF7w6KnPcxdNq3wdzbJ25jWiD3qN6-BqePfY0CAmqAb-x_gNIWKeyFvh7fE7j6DYPaGL4rkjjVN0qlh7CO_67c3lma8-4nq5Lc4dWIANcgZsl4MqZ_oU.7tjUF9Tu7aa0EOasnAS7Jy_mQCAWRZcF2PCKvBJSzwQ&dib_tag=se&keywords=tenis+de+corrida&qid=1761925589&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-5
4.5,Corrida de Rua,,2025-10-31,,,Verificar disponibilidade,Feminino,Amazon,Olympikus,Tecido,Olympikus Tênis Olympikus Acqua Feminino,,164.9,,385,,,Cadarço,Borracha,https://m.media-amazon.com/images/I/51GXKGCE8OL._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/T%C3%AAnis-Feminino-Olympikus-Acqua-Branco/dp/B0CZ1ZX9XN/ref=sr_1_5_so_SHOES?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.HAhJPA1axNHy4ay6c33ppQN7BksE9No0kPnecEJoY2U62YyFNSRkpEclq1QRt8M5oq7xdBvDuTkQjwxsNQEwdUuyR-e7oSEsVvOZbaf3PBcJb9wHnAvwcC9b8iVwhrWwZEaHPL0Ort1yE9ehZGG36FHrTh9n_3-Fdcbwv1jZVg5qhmcgHqalriPjF7w6KnPcxdNq3wdzbJ25jWiD3qN6-BqePfY0CAmqAb-x_gNIWKeyFvh7fE7j6DYPaGL4rkjjVN0qlh7CO_67c3lma8-4nq5Lc4dWIANcgZsl4MqZ_oU.7tjUF9Tu7aa0EOasnAS7Jy_mQCAWRZcF2PCKvBJSzwQ&dib_tag=se&keywords=tenis+de+corrida&qid=1761925589&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-5
,Corrida de Rua,,2025-10-31,,,Disponível,Masculino,Amazon,Mizuno,Sintético,"Tênis Mizuno Goya 2 Masculino Preto Branco (Preto Branco, BR, Adulto, Numérico, 40)",,249.99,37.15,,,,Cadarço,Borracha,https://m.media-amazon.com/images/I/514OsvWPi6L._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Mizuno-Goya-Masculino-Branco-Num%C3%A9rico/dp/B0DG5XXN5N/ref=sr_1_56?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.HAhJPA1axNHy4ay6c33ppQN7BksE9No0kPnecEJoY2U62YyFNSRkpEclq1QRt8M5oq7xdBvDuTkQjwxsNQEwdUuyR-e7oSEsVvOZbaf3PBcJb9wHnAvwcC9b8iVwhrWwZEaHPL0Ort1yE9ehZGG36FHrTh9n_3-Fdcbwv1jZVg5qhmcgHqalriPjF7w6KnPcxdNq3wdzbJ25jWiD3qN6-BqePfY0CAmqAb-x_gNIWKeyFvh7fE7j6DYPaGL4rkjjVN0qlh7CO_67c3lma8-4nq5Lc4dWIANcgZsl4MqZ_oU.7tjUF9Tu7aa0EOasnAS7Jy_mQCAWRZcF2PCKvBJSzwQ&dib_tag=se&keywords=tenis+de+corrida&qid=1761925589&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-56&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678
1.0,Corrida de Rua,,2025-10-31,10.0,,Disponível,Masculino,Amazon,Genérico,Nylon,Tenis Masculino Academia Esportivo Corrida Adulto Wave Creation Confortavel,,116.911,129.9,25,,Wave,Cadarço,Acetato vinilo de etileno,https://m.media-amazon.com/images/I/61Ng1EF4H3L._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Masculino-Academia-Esportivo-Creation-Confortavel/dp/B0DKYBP3KL/ref=is_sr_dp_n?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.OQ4Q9PHpJTPQ_roCuVQsN9CbKfmJARAz8RgB_gwPoVhHXgth234zyxUQBYwAe-eAZP6sGknZE4VJdJ8PtCk0NQAVJjbrTLZHENNf6S4Bchz5WY6f_EloP0VW2GXM8akgxXVGSis9wAIjCCsvDcIGpDkiShzMzND-v5HDFRT4rIAPpcQkbO50TyJiIOg08RfpiT_5WBVKRRCSP2Cag-2bErcLSmFH_LBkNfnQuGOgyKq8Lh5lkMgiXt-rJgYbAwTdI_aE_JfnrDtbTNvA7Q3ghmneQp5hkdj8FRj0mi9S5WI.MxeWwRrlha9L1sfoqkaAJOSL5ZOslD9DMi9-6-EBiVE&dib_tag=se&keywords=tenis+de+corrida&qid=1761925618&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-104&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&xpid=ERuU6uEzXaAxz
0.0,Corrida de Rua,,2025-10-31,10.0,,Disponível,Masculino,Amazon,Genérico,Nylon,Tenis Masculino Academia Esportivo Corrida Adulto Wave Creation Confortavel,,116.911,129.9,25,,Wave,Cadarço,Acetato vinilo de etileno,https://m.media-amazon.com/images/I/61JNAb2VdvL._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Masculino-Academia-Esportivo-Creation-Confortavel/dp/B0DKYC4W6G/ref=is_sr_dp_6?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.OQ4Q9PHpJTPQ_roCuVQsN9CbKfmJARAz8RgB_gwPoVhHXgth234zyxUQBYwAe-eAZP6sGknZE4VJdJ8PtCk0NQAVJjbrTLZHENNf6S4Bchz5WY6f_EloP0VW2GXM8akgxXVGSis9wAIjCCsvDcIGpDkiShzMzND-v5HDFRT4rIAPpcQkbO50TyJiIOg08RfpiT_5WBVKRRCSP2Cag-2bErcLSmFH_LBkNfnQuGOgyKq8Lh5lkMgiXt-rJgYbAwTdI_aE_JfnrDtbTNvA7Q3ghmneQp5hkdj8FRj0mi9S5WI.MxeWwRrlha9L1sfoqkaAJOSL5ZOslD9DMi9-6-EBiVE&dib_tag=se&keywords=tenis+de+corrida&qid=1761925618&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-104&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&xpid=ERuU6uEzXaAxz
1.0,Corrida de Rua,,2025-10-31,10.0,,Disponível,Masculino,Amazon,Genérico,Nylon,Tenis Masculino Academia Esportivo Corrida Adulto Wave Creation Confortavel,,116.911,129.9,25,,Wave,Cadarço,Borracha,https://m.media-amazon.com/images/I/61z5o1Gl3fL._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Masculino-Academia-Esportivo-Creation-Confortavel/dp/B0DKYB6783/ref=is_sr_s_dp_5?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.OQ4Q9PHpJTPQ_roCuVQsN9CbKfmJARAz8RgB_gwPoVhHXgth234zyxUQBYwAe-eAZP6sGknZE4VJdJ8PtCk0NQAVJjbrTLZHENNf6S4Bchz5WY6f_EloP0VW2GXM8akgxXVGSis9wAIjCCsvDcIGpDkiShzMzND-v5HDFRT4rIAPpcQkbO50TyJiIOg08RfpiT_5WBVKRRCSP2Cag-2bErcLSmFH_LBkNfnQuGOgyKq8Lh5lkMgiXt-rJgYbAwTdI_aE_JfnrDtbTNvA7Q3ghmneQp5hkdj8FRj0mi9S5WI.MxeWwRrlha9L1sfoqkaAJOSL5ZOslD9DMi9-6-EBiVE&dib_tag=se&keywords=tenis+de+corrida&qid=1761925618&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-104&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&xpid=ERuU6uEzXaAxz
0.0,Corrida de Rua,,2025-10-31,10.0,,Disponível,Masculino,Amazon,Genérico,Nylon,Tenis Masculino Academia Esportivo Corrida Adulto Wave Creation Confortavel,,116.911,129.9,25,,Wave,Cadarço,Acetato vinilo de etileno,https://m.media-amazon.com/images/I/61K1BHWy2hL._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Masculino-Academia-Esportivo-Creation-Confortavel/dp/B0DKYRJRMZ/ref=is_sr_s_dp_4?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.OQ4Q9PHpJTPQ_roCuVQsN9CbKfmJARAz8RgB_gwPoVhHXgth234zyxUQBYwAe-eAZP6sGknZE4VJdJ8PtCk0NQAVJjbrTLZHENNf6S4Bchz5WY6f_EloP0VW2GXM8akgxXVGSis9wAIjCCsvDcIGpDkiShzMzND-v5HDFRT4rIAPpcQkbO50TyJiIOg08RfpiT_5WBVKRRCSP2Cag-2bErcLSmFH_LBkNfnQuGOgyKq8Lh5lkMgiXt-rJgYbAwTdI_aE_JfnrDtbTNvA7Q3ghmneQp5hkdj8FRj0mi9S5WI.MxeWwRrlha9L1sfoqkaAJOSL5ZOslD9DMi9-6-EBiVE&dib_tag=se&keywords=tenis+de+corrida&qid=1761925618&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-104&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&xpid=ERuU6uEzXaAxz
4.2,Tênis para Academia,,2025-10-31,,,Verificar disponibilidade,Feminino,Amazon,It Shoes,Nylon,Tênis Feminino Esportivo Caminhada Academia Corrida,,198.99,37.15,301,,,Cadarço,PVC Microexpandido,https://m.media-amazon.com/images/I/61lqLEuC4hL._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Feminino-Esportivo-Caminhada-Academia-Num%C3%A9rico/dp/B0CTTVYGFM/ref=sr_1_141_so_SHOES?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.uAzzRZdrp4gG4l3ehaZYSy8z5W7xhG4NIJpsxgIfKThRTh-6dQGpwy8tgHURfnwecB7JiCqf-eNcwv38cRD6JTdWbLgxMH6l8-vjUVUJyn1IJy1MaigxepOnswhj3lqmHxB2CN_XFTj_SeE9TmJ6ECu1UlKgjGO_goapnbhrnzX26S8Sx-8tFlg-TkLG2MDI6wtNbLl78WanfkPhLNfBSMwuAnx_ptCPwKe8fGxOBUirC-SxPiMkdwzG7dS5Gq4ojaBmyuZ_d6Kr_TlmtKHT3Db88sr0p8x5wyWPHagJbLE.VpxNRTvLrw4R-vPi7VFiL3DpUUP-d4kRB31Z1sORvnU&dib_tag=se&keywords=tenis+de+corrida&qid=1761925648&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-141&xpid=ERuU6uEzXaAxz
4.5,Corrida de Rua,,2025-10-31,20.0,,Disponível,Masculino,Amazon,Genérico,Poliéster,Tênis Masculino Esportivo Para Academia de Caminhada Original Leve Confortável,,69.912,87.39,57,,,Cadarço,"Ultrasoft, Micro Expandido, Antiderrapante",https://m.media-amazon.com/images/I/51QgUHjRP-L._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Masculino-Esportivo-Academia-Caminhada-Confort%C3%A1vel/dp/B0DJFZDG8K/ref=is_sr_dp_3?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.uAzzRZdrp4gG4l3ehaZYSy8z5W7xhG4NIJpsxgIfKThRTh-6dQGpwy8tgHURfnwecB7JiCqf-eNcwv38cRD6JTdWbLgxMH6l8-vjUVUJyn1IJy1MaigxepOnswhj3lqmHxB2CN_XFTj_SeE9TmJ6ECu1UlKgjGO_goapnbhrnzX26S8Sx-8tFlg-TkLG2MDI6wtNbLl78WanfkPhLNfBSMwuAnx_ptCPwKe8fGxOBUirC-SxPiMkdwzG7dS5Gq4ojaBmyuZ_d6Kr_TlmtKHT3Db88sr0p8x5wyWPHagJbLE.VpxNRTvLrw4R-vPi7VFiL3DpUUP-d4kRB31Z1sORvnU&dib_tag=se&keywords=tenis+de+corrida&qid=1761925648&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-152&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=ERuU6uEzXaAxz
4.5,Corrida de Rua,,2025-10-31,20.0,,Disponível,Masculino,Amazon,Genérico,"Malha, Têxtil Respirável",Tênis Masculino Esportivo Para Academia de Caminhada Original Leve Confortável,,69.912,87.39,57,,,Cadarço,"Ultrasoft, Micro Expandido",https://m.media-amazon.com/images/I/51S8uaq6KvL._AC_SY395_SX395_QL70_ML2_.jpg,https://www.amazon.com.br/Masculino-Esportivo-Academia-Caminhada-Confort%C3%A1vel/dp/B0DJG1LCTD/ref=is_sr_dp_2?crid=DLJ5Z8MJX9ZM&dib=eyJ2IjoiMSJ9.uAzzRZdrp4gG4l3ehaZYSy8z5W7xhG4NIJpsxgIfKThRTh-6dQGpwy8tgHURfnwecB7JiCqf-eNcwv38cRD6JTdWbLgxMH6l8-vjUVUJyn1IJy1MaigxepOnswhj3lqmHxB2CN_XFTj_SeE9TmJ6ECu1UlKgjGO_goapnbhrnzX26S8Sx-8tFlg-TkLG2MDI6wtNbLl78WanfkPhLNfBSMwuAnx_ptCPwKe8fGxOBUirC-SxPiMkdwzG7dS5Gq4ojaBmyuZ_d6Kr_TlmtKHT3Db88sr0p8x5wyWPHagJbLE.VpxNRTvLrw4R-vPi7VFiL3DpUUP-d4kRB31Z1sORvnU&dib_tag=se&keywords=tenis+de+corrida&qid=1761925648&sprefix=tenis+de+corrida%2Caps%2C739&sr=8-152&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=ERuU6uEzXaAxz
