name,url,image,audience score,price,pace,arch support,weight lab weight brand,lightweight,drop lab drop brand,strike pattern,midsole softness,difference in midsole softness in cold,toebox durability,heel padding durability,outsole durability,breathability,heel stack,forefoot stack,drop,flexibility / stiffness (new method),flexibility / stiffness (old method),brand,audience_score,price_usd,drop_mm,weight,weight_grams,trail terrain,heel stack lab heel stack brand,midsole width - forefoot,midsole width - heel,outsole thickness,weight (g),drop (mm),flexibility of the shoe (n),flexibility of the shoe (freezer 20 min) (n),flexibility of the shoe (% of change),"longitudinal flexibility (1-5 scale, 5 being the stiffest)","torsional flexibility (1-5 scale, 5 being the stiffest)",flexibility of the shoe (freezer 1 hour) (n),"longitudinal flexibility (on a 0-5 scale, 0 being the stiffest)","torsional flexibility (on a 0-5 scale, 0 being the stiffest)",agility and responsiveness,outsole hardness,fuelcell supercomp pacer v2
ASICS Novablast 5,https://runrepeat.com/asics-novablast-5,https://cdn.runrepeat.com/storage/gallery/product_primary/40608/asics-novablast-5-22312736-720.jpg,92 Superb!,$140,Daily runningTempo,Neutral,9 oz / 254g 9 oz / 255g,✗,7.4 mm 8.0 mm,HeelMid/forefoot,13.0 HA,Big,Bad,Decent,Good,Moderate,40.9 mm,33.5 mm,7.4 mm,11.2N,19.1N,ASICS,92,140.0,7.4,,,,,,,,,,,,,,,,,,,,
Nike Vomero Plus,https://runrepeat.com/nike-vomero-plus,https://cdn.runrepeat.com/storage/gallery/product_primary/40912/nike-vomero-plus-23479827-720.jpg,91 Superb!,$180,Daily running,Neutral,10.2 oz / 289g 10.1 oz / 285g,,9.6 mm 10.0 mm,HeelMid/forefoot,15.1 HA,Small,Decent,Good,Good,3,42.3 mm,32.7 mm,9.6 mm,19.8N,,Nike,91,180.0,9.6,10.2 oz (289g),289.0,,,,,,,,,,,,,,,,,,
Hoka Bondi 9,https://runrepeat.com/hoka-bondi-9,https://cdn.runrepeat.com/storage/gallery/product_primary/40639/hoka-bondi-9-22560581-720.jpg,90 Great!,$170,Daily running,Neutral,10.7 oz / 303g 10.5 oz / 297g,,9.1 mm 5.0 mm,HeelMid/forefoot,25.1 HA,Small,Good,Good,Good,Moderate,41.3 mm,32.2 mm,9.1 mm,16.5N,30.6N,HOKA,90,170.0,9.1,10.7 oz (303g),303.0,,,,,,,,,,,,,,,,,,
New Balance Fresh Foam X More v5,https://runrepeat.com/new-balance-fresh-foam-x-more-v5,https://cdn.runrepeat.com/storage/gallery/product_primary/40481/new-balance-fresh-foam-x-more-v-5-21889889-720.jpg,87 Great!,$155,Daily running,Neutral,10.9 oz / 308g 10.7 oz / 303g,,7.8 mm 4.0 mm,Mid/forefoot,8.6 HA,Normal,Decent,Decent,Good,Breathable,42.1 mm,34.3 mm,7.8 mm,18.1N,30.6N,New Balance,87,155.0,7.8,10.9 oz (308g),308.0,,,,,,,,,,,,,,,,,,
Nike Vomero 18,https://runrepeat.com/nike-vomero-18,https://cdn.runrepeat.com/storage/gallery/product_primary/40615/nike-vomero-18-23005571-720.jpg,91 Superb!,$150,Daily running,Neutral,10.5 oz / 298g 11.5 oz / 325g,,13.9 mm 10.0 mm,Heel,15.0 HA,Small,Decent,Good,Decent,3,42.5 mm,28.6 mm,13.9 mm,16.0N,,Nike,91,150.0,13.9,10.5 oz (298g),298.0,,,,,,,,,,,,,,,,,,
Hoka Clifton 10,https://runrepeat.com/hoka-clifton-10,https://cdn.runrepeat.com/storage/gallery/product_primary/40691/hoka-clifton-10-22918659-720.jpg,89 Great!,$150,Daily running,Neutral,9.7 oz / 275g 9.8 oz / 277g,,12.4 mm 8.0 mm,Heel,17.1 HA,Small,Good,Good,Decent,3,44.4 mm,32.0 mm,12.4 mm,14.7N,,HOKA,89,150.0,12.4,9.7 oz (275g),275.0,,,,,,,,,,,,,,,,,,
Hoka Clifton 9,https://runrepeat.com/hoka-clifton-9,https://cdn.runrepeat.com/storage/gallery/product_primary/39553/hoka-clifton-9-21236508-720.jpg,86 Good!,$145,Daily running,Neutral,8.8 oz / 249g 8.8 oz / 249g,✓,6.1 mm 5.0 mm,Mid/forefoot,20.4 HA,Small,-,-,-,Moderate,32.7 mm,26.6 mm,6.1 mm,17.7N,26.9N,HOKA,86,145.0,6.1,,,,,,,,,,,,,,,,,,,,
Brooks Ghost Max,https://runrepeat.com/brooks-ghost-max,https://cdn.runrepeat.com/storage/gallery/product_primary/40164/brooks-ghost-max-21133971-720.jpg,91 Superb!,$150,Daily running,Neutral,10.3 oz / 291g 10.1 oz / 286g,,9.5 mm 6.0 mm,HeelMid/forefoot,13.0 HA,Big,Bad,Good,Good,Moderate,39.8 mm,30.3 mm,9.5 mm,21.3N,32.5N,Brooks,91,150.0,9.5,10.3 oz (291g),291.0,,,,,,,,,,,,,,,,,,
Nike Pegasus 41,https://runrepeat.com/nike-pegasus-41,https://cdn.runrepeat.com/storage/gallery/product_primary/40390/nike-pegasus-41-21635997-720.jpg,88 Great!,$140,Daily running,Neutral,9.9 oz / 281g 10 oz / 283g,✗,11.4 mm 10.0 mm,Heel,15.8 HA,Normal,Decent,Good,Good,Moderate,33.6 mm,22.2 mm,11.4 mm,9.4N,19.2N,Nike,88,140.0,11.4,,,,,,,,,,,,,,,,,,,,
Adidas Adizero EVO SL,https://runrepeat.com/adidas-adizero-evo-sl,https://cdn.runrepeat.com/storage/gallery/product_primary/40586/adidas-adizero-evo-sl-22256345-720.jpg,93 Superb!,$150,Daily runningTempo,Neutral,7.9 oz / 223g 7.9 oz / 224g,✓,8.0 mm 6.5 mm,HeelMid/forefoot,21.3 HA,Small,Bad,Good,Good,Breathable,36.1 mm,28.1 mm,8.0 mm,9.8N,19.2N,Adidas,93,150.0,8.0,,,,,,,,,,,,,,,,,,,,
